Title,Release date,Developer(s),Genre
Golden Nugget 64,1998-01-01,Westwood Studios,Simulator
The F.A. Premier League Football Manager 99,1998-01-01,EA UK,Sports
Small Soldiers,1998-01-01,DreamWorks Interactive,Strategy
The Biggest Names the Best Games,1998-01-01,Electronic Arts,Action
Theme Aquarium,1998-01-01,Tose,Simulator
Bundesliga 99,1998-01-01,EA Canada,Sports
Best of Voodoo,1998-01-01,Electronic Arts,Action
Triple Play 99,1998-01-01,EA Canada,Action
SimSafari,1998-01-01,Maxis,Simulator
Moto Racer 2,1998-01-01,Delphine Software International,Racing
NHL 98,1998-01-01,EA Canada,Sports
Future Cop: LAPD,1998-01-01,EA Redwood Shores,Action
NHL 99,1998-01-01,EA Canada,Sports
Play the Games Vol. 1,1998-01-01,Namco Bandai Entertainment / Infogrames,Action
Need for Speed III: Hot Pursuit,1998-01-01,EA Canada,Racing
Need for Speed III: Hot Pursuit,1998-01-01,EA Seattle,Racing
X Games Pro Boarder,1998-01-01,Radical Entertainment,Action
FIFA 99,1998-01-01,EA Canada,Sports
World Cup 98,1998-01-01,EA Canada,Sports
Warhammer: Dark Omen,1998-01-01,Mindscape / Games Workshop,Strategy
NCAA Football 99,1998-01-01,EA Sports,Sports
Jurassic Park: Trespasser,1998-01-01,DreamWorks Interactive,Action
PGA Tour Gold,1998-01-01,Electronic Arts,Sports
WarGames[r],1998-01-01,Interactive Studios,Strategy
Jane's Combat Simulators: Israeli Air Force,1998-01-01,Pixel Multimedia,Flight
AFL 99,1998-01-01,Electronic Arts,Sports
Populous: The Beginning,1998-01-01,Bullfrog Productions,Action
NBA Live 99,1998-01-01,NuFX,Sports
NBA Live 99,1998-01-01,EA Canada,Sports
Jane's Combat Simulators: Longbow Anthology,1998-01-01,Origin Systems,Flight
Queen: The eYe,1998-01-01,Destination Design,Action
Ultimate Sim,1998-01-01,Electronic Arts,Simulator
Knockout Kings,1998-01-01,Digital Eclipse Software,Fighting
Fighter Pilot,1998-01-01,Charybdis Enterprises,Flight
Ultima Collection,1998-01-01,Origin Systems,RPG
Madden NFL 99,1998-01-01,EA Tiburon,Sports
Jane's Combat Simulators: WWII Fighters,1998-01-01,Electronic Arts,Flight
Road Rash 3D,1998-01-01,Electronic Arts,Racing
ReBoot,1998-01-01,EA Canada,Action
Dungeon Keeper Gold,1998-01-01,Bullfrog Productions,Action
Lands of Lore III,1999-01-01,Westwood Studios,Action
The Biggest Names the Best Games 2,1999-01-01,Electronic Arts,Action
Xena: Warrior Princess,1999-01-01,Universal Studios Digital Arts,RPG
Knockout Kings 2000,1999-01-01,Electronic Arts,Fighting
Madden NFL 2000,1999-01-01,EA Tiburon,Sports
System Shock 2,1999-01-01,Irrational Games / Looking Glass Studios,Action
Knockout Kings 2000,1999-01-01,Black Ops Entertainment,Fighting
Ultima IX: Ascension,1999-01-01,Origin Systems,RPG
Jane's Combat Simulators: USAF,1999-01-01,Pixel Multimedia,Flight
The F.A. Premier League Football Manager 2000,1999-01-01,EA UK,Sports
The Creed,1999-01-01,Insomnia Entertainment,Action
Triple Play 2000,1999-01-01,Treyarch,Action
Hot Wheels Turbo Racing,1999-01-01,Stormfront Studios,Racing
The F.A. Premier League Stars,1999-01-01,EA UK,Sports
WCW Mayhem,1999-01-01,Kodiak Interactive,Action
Tomorrow Never Dies,1999-01-01,Black Ops Entertainment,Action
Tiger Woods PGA Tour 2000,1999-01-01,EA Redwood Shores,Sports
Beetle Adventure Racing!,1999-01-01,Paradigm Entertainment,Racing
Theme Park World,1999-01-01,Bullfrog Productions / Climax Development,Simulator
V-Rally 2,1999-01-01,Eden Studios,Action
The Biggest Names the Best Games 4,1999-01-01,Electronic Arts,Action
Jane's Combat Simulators: Fleet Command,1999-01-01,Sonalysts Combat Simulators,Flight
Sports Car GT,1999-01-01,Image Space Incorporated,Racing
Knockout Kings,1999-01-01,High Score Entertainment / Press Start Inc.,Fighting
Flight Unlimited III,1999-01-01,Looking Glass Studios,Flight
SimCity 3000,1999-01-01,Maxis,Simulator
Sid Meier's Antietam!,1999-01-01,Firaxis Games / BreakAway Games,Action
NCAA Football 2000,1999-01-01,EA Sports,Sports
Sid Meier's Alpha Centauri,1999-01-01,Firaxis Games,Action
NBA Live 2000,1999-01-01,NuFX,Sports
Recoil,1999-01-01,Zipper Interactive / Westwood Studios,Action
Play the Games Vol. 2,1999-01-01,Infogrames / Eidos Interactive,Action
Delta Force 2,1999-01-01,NovaLogic,Shooter
Populous: The Beginning,1999-01-01,Bullfrog Productions,Action
Sid Meier's Alien Crossfire,1999-01-01,Firaxis Games,Action
Populous: The Beginning: Undiscovered Worlds,1999-01-01,Bullfrog Productions,Action
F-22 Lightning 3,1999-01-01,NovaLogic,Action
Deer Hunt Challenge,1999-01-01,"EA Seattle / Inland Productions, Inc.",Action
NASCAR 2000,1999-01-01,EA Sports / Stormfront Studios,Racing
NHL 2000,1999-01-01,EA Canada,Sports
CyberTiger,1999-01-01,EA Redwood Shores,Action
FIFA 2000,1999-01-01,EA Canada,Sports
Supercross 2000,1999-01-01,MBL Research,Sports
Superbikes '99,1999-01-01,Milestone srl,Racing
Rushdown,1999-01-01,Canal+,Action
Need for Speed: High Stakes,1999-01-01,EA Canada,Racing
Need for Speed: High Stakes,1999-01-01,EA Seattle,Racing
Dune 2000,1999-01-01,Intelligent Games / Westwood Studios,Action
NBA Live 2000,1999-01-01,EA Canada,Sports
NASCAR Revolution,1999-01-01,Stormfront Studios,Racing
Street Sk8er,1999-01-01,Atelier Double,Action
Medal of Honor,1999-01-01,DreamWorks Interactive,Shooter
Dungeon Keeper 2,1999-01-01,Bullfrog Productions,Action
NASCAR Road Racing,1999-01-01,Electronic Arts,Racing
Cricket World Cup 99,1999-01-01,Creative Assembly,Sports
Skydive!,1999-01-01,Gonzo Games,Action
Sled Storm,1999-01-01,EA Canada,Action
Road Rash: Jailbreak,2000-01-01,EA Redwood Shores,Racing
Ultima Online: Renaissance,2000-01-01,Origin Systems,RPG
Ultima World Edition,2000-01-01,Electronic Arts,RPG
WCW Backstage Assault,2000-01-01,Kodiak Interactive,Shooter
Racing Mania,2000-01-01,Electronic Arts,Racing
Ultimate Motorcycle Series,2000-01-01,Electronic Arts,Racing
Ultimate Sci-Fi Series,2000-01-01,Electronic Arts,Action
Play the Games Vol. 3,2000-01-01,Eidos Interactive / Infogrames / Electronic Arts,Action
WCW Mayhem,2000-01-01,2n Productions,Action
NCAA Football 2001,2000-01-01,EA Sports,Sports
Nox,2000-01-01,Westwood Pacific,Action
NHL 2001,2000-01-01,EA Canada,Sports
Need for Speed: Porsche Unleashed,2000-01-01,Eden Studios,Racing
Need for Speed: Porsche Unleashed,2000-01-01,EA Canada,Racing
X-Squad,2000-01-01,Electronic Arts Square,Action
Knockout Kings 2001,2000-01-01,Electronic Arts,Fighting
NHL Rock the Rink,2000-01-01,EA Canada,Sports
Ultimate Hunt Challenge,2000-01-01,EA Seattle,Action
Rugby,2000-01-01,Creative Assembly,Sports
Supercross 2001,2000-01-01,Page 44 Studios,Racing
UEFA Euro 2000,2000-01-01,EA Canada,Sports
Superbike 2001,2000-01-01,Milestone srl,Racing
Madden NFL 2001,2000-01-01,EA Tiburon,Sports
Madden NFL 2001,2000-01-01,3d6 Games,Sports
Superbike 2000,2000-01-01,Milestone srl,Racing
Street Sk8er 2,2000-01-01,Atelier Double,Action
Medal of Honor: Underground,2000-01-01,DreamWorks Interactive,Shooter
The Biggest Names the Best Games 3,2000-01-01,Electronic Arts,Action
Mobil 1 British Rally Championship,2000-01-01,Magnetic Fields / Creative Asylum Limited,Action
The F.A. Premier League Football Manager 2000,2000-01-01,Krisalis Software,Sports
The F.A. Premier League Football Manager 2001,2000-01-01,EA UK,Sports
SimMania Pack,2000-01-01,Electronic Arts,Simulator
SimCity 3000 Unlimited,2000-01-01,Maxis,Simulator
The F.A. Premier League Stars 2001,2000-01-01,EA UK,Sports
Sid Meier's Alpha Centauri Planetary Pack,2000-01-01,Firaxis Games,Action
NBA Live 2001,2000-01-01,EA Sports,Sports
The Sims,2000-01-01,Maxis,Simulator
NASCAR 2000,2000-01-01,EA Sports / Stormfront Studios,Racing
NASCAR 2000,2000-01-01,Software Creations,Racing
NASCAR 2001,2000-01-01,Black Box Games,Racing
Theme Park World,2000-01-01,Bullfrog Productions / Climax Development,Simulator
NASCAR 2001,2000-01-01,EA Sports,Racing
Shogun: Total War[a],2000-01-01,The Creative Assembly,Strategy
Tiger Woods PGA Tour 2000,2000-01-01,Rainbow Studios,Sports
Tiger Woods PGA Tour 2000,2000-01-01,Xantera,Sports
Tiger Woods PGA Tour 2001,2000-01-01,Headgate Studios,Sports
Tiger Woods PGA Tour 2001,2000-01-01,Stormfront Studios,Sports
Triple Play 2001,2000-01-01,Handheld Games,Action
Swing Away Golf[c],2000-01-01,T&E Soft,Action
SSX,2000-01-01,EA Canada,Action
NASCAR Rumble,2000-01-01,EA Redwood Shores,Racing
The Sims: Livin' Large,2000-01-01,Maxis,Simulator
Triple Play 2001,2000-01-01,Treyarch,Action
007 Racing,2000-01-01,Eutechnyx,Racing
Front Office Football 2001,2000-01-01,Solecismic Software,Sports
Cricket 2000,2000-01-01,Krisalis Software,Sports
EA Sports Mania Pack,2000-01-01,Various,Sports
Command & Conquer: Red Alert 2,2000-01-01,Westwood Studios,Strategy
Aquarium,2000-01-01,Tose,Action
American McGee's Alice,2000-01-01,Rogue Entertainment,Action
F1 Championship Season 2000,2000-01-01,Image Space Incorporated / Visual Sciences,Racing
F1 Manager,2000-01-01,Intelligent Games,Racing
F1 2000,2000-01-01,Visual Sciences,Racing
Delta Force: Land Warrior,2000-01-01,NovaLogic,Shooter
FIFA Football 2001,2000-01-01,EA Canada,Sports
007: The World is Not Enough,2000-01-01,Eurocom,Racing
007: The World is Not Enough,2000-01-01,Black Ops Entertainment,Racing
Championship Bass,2000-01-01,Engineering Animation,Action
F1 2000,2000-01-01,Image Space Incorporated,Racing
CyberTiger,2000-01-01,Saffire,Action
Buick PGA Tour Courses,2000-01-01,EA Redwood Shores,Sports
Jane's Combat Simulators: Air Superiority Collection,2000-01-01,Electronic Arts,Flight
Jane's Combat Simulators: F/A-18 Simulator,2000-01-01,Electronic Arts,Flight
Jane's Combat Simulators: Naval Warfare Collection,2000-01-01,Electronic Arts,Flight
Kessen[b],2000-01-01,Koei,Action
CyberTiger,2000-01-01,Xantera,Action
Harry Potter and the Sorcerer's Stone,2001-01-01,KnowWonder,Adventure
The F.A. Premier League Stars 2001,2001-01-01,Krisalis Software / EA Bright Light,Sports
The Sims: Hot Date,2001-01-01,Maxis,Simulator
Racing Mania 2,2001-01-01,Electronic Arts,Racing
Electronic Arts Top Ten Family Fun Pack,2001-01-01,Various,Action
Moto Racer 3[f],2001-01-01,Delphine Software International,Racing
Majestic,2001-01-01,Anim-X,Action
Electronic Arts Top Ten Pak,2001-01-01,Various,Action
Elitserien 2001,2001-01-01,Electronic Arts,Action
Emperor: Battle for Dune,2001-01-01,Intelligent Games / Westwood Studios,Action
The Simpsons: Road Rage,2001-01-01,Radical Entertainment,Racing
The Sims: House Party,2001-01-01,Maxis,Simulator
NASCAR Thunder 2002,2001-01-01,EA Tiburon,Racing
Rumble Racing,2001-01-01,EA Redwood Shores,Racing
Motor City Online,2001-01-01,EA Seattle,Action
Harry Potter and the Sorcerer's Stone,2001-01-01,Griptonite Games,Adventure
SSX Tricky,2001-01-01,EA Canada,Action
Command & Conquer: Yuri's Revenge,2001-01-01,Westwood Studios,Strategy
Tiger Woods PGA Tour 2001,2001-01-01,EA Redwood Shores,Sports
Majestic: Special Edition,2001-01-01,Anim-X,Action
Shogun: Total War - The Mongol Invasion,2001-01-01,The Creative Assembly,Strategy
Shogun: Total War: Warlord Edition,2001-01-01,The Creative Assembly,Strategy
Harry Potter and the Sorcerer's Stone,2001-01-01,Argonaut Games,Adventure
Dark Age of Camelot,2001-01-01,Mythic Entertainment / Broadsword Online Games,Action
Rugby,2001-01-01,Creative Assembly,Sports
Theme Park Inc.,2001-01-01,Bullfrog Productions / Climax Group,Simulator
Madden NFL 2002,2001-01-01,EA Tiburon / Budcat Creations,Sports
F1 2001,2001-01-01,EA UK,Racing
NBA Street,2001-01-01,EA Canada / NuFX,Sports
007: The World is Not Enough,2001-01-01,2n Productions,Racing
Outdoorsman Mania,2001-01-01,"Inland Productions, Inc.",Action
Cel Damage,2001-01-01,Pseudo Interactive,Action
Adventure Pinball: Forgotten Island,2001-01-01,Digital Extremes,Action
Play the Games Vol. 4,2001-01-01,Eidos Interactive / Infogrames / Electronic Arts,Action
Torrente[d],2001-01-01,"Virtual Toys, S.L.",Action
Pooh and Tigger's Hunny Safari[e],2001-01-01,Digital Eclipse,Action
Ultima Online: Third Dawn,2001-01-01,Origin Systems,RPG
The F.A. Premier League Football Manager 2002,2001-01-01,EA UK,Sports
Clive Barker's Undying,2001-01-01,EA Los Angeles,Action
Black & White,2001-01-01,Lionhead Studios,Action
Sub Command,2001-01-01,Sonalysts,Strategy
NHL 2002,2001-01-01,EA Canada,Sports
NCAA Football 2002,2001-01-01,EA Sports,Sports
NBA Live 2002,2001-01-01,NuFX,Sports
NBA Live 2002,2001-01-01,EA Canada,Sports
Knockout Kings 2001,2001-01-01,Black Ops Entertainment,Fighting
Triple Play Baseball,2001-01-01,Treyarch,Sports
NBA Live 2001,2001-01-01,EA Sports,Sports
Command & Conquer: Theater of War,2001-01-01,Westwood Studios,Strategy
007: Agent Under Fire,2001-01-01,EA Redwood Shores,Action
F1 2001,2001-01-01,Image Space Incorporated,Racing
Comanche 4,2001-01-01,Novalogic,Action
FIFA Football 2002,2001-01-01,EA Canada,Sports
NCAA Football 2003,2002-01-01,EA Tiburon,Sports
Harry Potter and the Chamber of Secrets,2002-01-01,Argonaut Games,Adventure
Clive Barker's Undying,2002-01-01,EA Los Angeles,Action
Harry Potter and the Chamber of Secrets,2002-01-01,Eurocom,Adventure
Harry Potter and the Chamber of Secrets,2002-01-01,Eurocom / EA UK,Adventure
Command & Conquer: Red Strike,2002-01-01,Westwood Pacific,Strategy
Command & Conquer: Renegade,2002-01-01,Westwood Studios,Strategy
Harry Potter and the Chamber of Secrets,2002-01-01,Griptonite Games,Adventure
Harry Potter and the Chamber of Secrets,2002-01-01,KnowWonder,Adventure
Cel Damage,2002-01-01,Pseudo Interactive,Action
Sled Storm,2002-01-01,EA Canada,Action
SSX Tricky,2002-01-01,EA Canada,Action
Cricket 2002,2002-01-01,HB Studios,Sports
NHL 2002,2002-01-01,Budcat Creations,Sports
NHL 2003,2002-01-01,EA Canada,Sports
FIFA Football 2003,2002-01-01,Exient Entertainment,Sports
FIFA Football 2003,2002-01-01,EA Canada,Sports
Need for Speed: Hot Pursuit 2,2002-01-01,EA Black Box,Racing
Need for Speed: Hot Pursuit 2,2002-01-01,EA Seattle,Racing
NBA Street,2002-01-01,EA Canada / NuFX,Sports
Pirates: The Legend of Black Kat,2002-01-01,Westwood Studios,Action
Freedom Force,2002-01-01,Irrational Games,Shooter
Freekstyle,2002-01-01,EA Redwood Shores / Page 44 Studios,Action
Freekstyle,2002-01-01,EA Redwood Shores / Page 44 Studios / Hypnos Entertainment,Action
F1 2002,2002-01-01,Visual Science,Racing
NBA Live 2003,2002-01-01,NuFX,Sports
Creator: Harry Potter and the Chamber of Secrets,2002-01-01,Qube Software,Adventure
NBA Live 2003,2002-01-01,EA Canada,Sports
Electronic Arts Top Ten Red,2002-01-01,Electronic Arts,Action
Electronic Arts Top Ten Blue,2002-01-01,Electronic Arts,Action
Earth & Beyond,2002-01-01,Westwood Studios,Action
Drome Racers,2002-01-01,Attention to Detail,Racing
NASCAR Thunder 2003,2002-01-01,Image Space Incorporated,Racing
NASCAR Thunder 2003,2002-01-01,EA Sports / Budcat Creations,Racing
Galidor: Defenders of the Outer Dimension,2002-01-01,Tiertex Design Studios,Action
Global Operations,2002-01-01,Barking Dog Studios,Action
Desert Strike: Return to the Gulf,2002-01-01,"Budcat Creations, LLC.",Action
Shox,2002-01-01,EA UK,Action
Sid Meier's Civil War Collection,2002-01-01,Firaxis Games / BreakAway Games,Strategy
Sid Meier's SimGolf,2002-01-01,Firaxis Games,Simulator
SimMania for Kids,2002-01-01,Maxis,Simulator
F1 2002,2002-01-01,Image Space Incorporated,Racing
Black & White: Creature Isle,2002-01-01,Lionhead Studios,Action
Buffy the Vampire Slayer,2002-01-01,The Collective,Action
Tiger Woods PGA Tour 2003,2002-01-01,EA Redwood Shores,Sports
The Lord of the Rings: The Two Towers,2002-01-01,Griptonite Games,RPG
The Lord of the Rings: The Two Towers,2002-01-01,Hypnos Entertainment,RPG
The Lord of the Rings: The Two Towers,2002-01-01,Stormfront Studios,RPG
Total Club Manager 2003,2002-01-01,Electronic Arts,Action
Bionicle: Matoran Adventures,2002-01-01,Argonaut Games,Action
Triple Play 2002,2002-01-01,Pandemic Studios,Action
1503 A.D.: The New World,2002-01-01,Max Design,Action
2002 FIFA World Cup,2002-01-01,EA Canada / Creations / Intelligent Games,Sports
Matt Hayes Fishing,2002-01-01,Electronic Arts Seattle,Action
V8 Challenge,2002-01-01,Digital Illusions CE,Action
The Sims: Vacation,2002-01-01,Maxis,Simulator
The Sims: Unleashed,2002-01-01,Maxis,Simulator
Ty the Tasmanian Tiger,2002-01-01,Krome Studios,Action
Tiger Woods PGA Tour 2002,2002-01-01,Rebellion Developments,Sports
2002 FIFA World Cup,2002-01-01,EA Canada / Creations / Tose Software,Sports
Ultima Online: Lord Blackthorn's Revenge,2002-01-01,Origin Systems,RPG
The Sims Online,2002-01-01,Maxis,Simulator
Harry Potter and the Sorcerer's Stone,2002-01-01,Westlake Entertainment,Adventure
Knockout Kings 2002,2002-01-01,Black Ops Entertainment,Fighting
Knockout Kings 2003,2002-01-01,"GameFlow Entertainment, LLC / Electronic Arts Redwood Shores Studio",Fighting
007: Agent Under Fire,2002-01-01,EA Redwood Shores,Action
Tiger Woods PGA Tour 2003,2002-01-01,Headgate Studios,Sports
Island Xtreme Stunts,2002-01-01,Silicon Dreams Studio,Action
Tiger Woods PGA Tour 2002,2002-01-01,EA Redwood Shores,Sports
Tiger Woods PGA Tour 2002,2002-01-01,Headgate Studios,Sports
Medal of Honor: Frontline,2002-01-01,EA Los Angeles,Shooter
007: Nightfire,2002-01-01,Eurocom,Racing
007: Nightfire,2002-01-01,Gearbox Software,Racing
Medal of Honor: Allied Assault[g],2002-01-01,"2015, Inc.",Shooter
Medal of Honor: Allied Assault – Spearhead,2002-01-01,EA Los Angeles,Shooter
Battlefield 1942,2002-01-01,Digital Illusions CE,Shooter
Madden NFL 2003,2002-01-01,EA Tiburon / Budcat Creations,Sports
Tiger Woods PGA Tour 2004,2003-01-01,Headgate Studios,Sports
Battlefield 1942: The Road to Rome,2003-01-01,Digital Illusions CE,Shooter
Drome Racers,2003-01-01,Attention to Detail,Racing
SSX 3,2003-01-01,EA Canada,Action
Rugby 2004,2003-01-01,HB Studios,Sports
Madden NFL 2004,2003-01-01,EA Tiburon,Sports
NASCAR Thunder 2004,2003-01-01,Image Space Incorporated,Racing
NASCAR Thunder 2004,2003-01-01,EA Tiburon,Racing
NASCAR Thunder 2004,2003-01-01,Budcat Creations,Racing
Tiger Woods PGA Tour 2004,2003-01-01,Backbone Emeryville,Sports
SSX 3,2003-01-01,Visual Impact,Action
Madden NFL 2004,2003-01-01,Budcat,Sports
Battlefield 1942: Secret Weapons of WWII,2003-01-01,Digital Illusions CE,Shooter
The Lord of the Rings: The Return of the King,2003-01-01,JAMDAT,RPG
Total Club Manager 2004,2003-01-01,Budcat Creations,Action
007: Everything or Nothing,2003-01-01,Griptonite Games,Racing
NHL 2004,2003-01-01,EA Black Box,Sports
FIFA Football 2004,2003-01-01,Exient Entertainment,Sports
FIFA Football 2004,2003-01-01,EA Canada,Sports
FIFA Football 2003,2003-01-01,EA Canada,Sports
NBA Street Vol. 2,2003-01-01,EA Canada,Sports
007: Nightfire,2003-01-01,JV Games,Racing
Looney Tunes: Back in Action,2003-01-01,Warthog Games,Action
Need for Speed: Underground,2003-01-01,EA Black Box,Racing
Need for Speed: Underground,2003-01-01,Pocketeers,Racing
Aliens Versus Predator: Extinction,2003-01-01,Zono,Action
F1 Challenge '99-'02,2003-01-01,Visual Science,Racing
MVP Baseball 2003,2003-01-01,EA Canada,Sports
F1 Career Challenge,2003-01-01,Visual Science,Racing
Ultima Online: Age of Shadows,2003-01-01,Origin Systems,RPG
NBA Live 2004,2003-01-01,EA Canada,Sports
Total Club Manager 2004,2003-01-01,Electronic Arts,Action
Battlefield 1942: Deluxe Edition,2003-01-01,Digital Illusions CE,Shooter
Freedom Fighters,2003-01-01,IO Interactive,Fighting
Tiger Woods PGA Tour 2004,2003-01-01,EA Redwood Shores,Sports
Disney's Party,2003-01-01,Jupiter Corporation,Action
Harry Potter and the Sorcerer's Stone,2003-01-01,Warthog Games Limited,Adventure
The Sims Bustin' Out,2003-01-01,Maxis,Simulator
The Sims Bustin' Out,2003-01-01,Griptonite Games,Simulator
Disney's Stitch: Experiment 626[h],2003-01-01,High Voltage Software,Action
The Sims,2003-01-01,Edge of Reality,Simulator
The Sim Collection,2003-01-01,Maxis,Simulator
The Need for Speed Collection,2003-01-01,EA Black Box,Racing
The Movie Collection,2003-01-01,Electronic Arts,Action
Best of EA Sports,2003-01-01,Electronic Arts,Sports
Bionicle,2003-01-01,Argonaut Games / Argonaut Sheffield,Action
Harry Potter: Quidditch World Cup,2003-01-01,EA UK,Adventure
Harry Potter and the Chamber of Secrets,2003-01-01,Aspyr,Adventure
Command & Conquer: Generals,2003-01-01,EA Pacific,Strategy
The Lord of the Rings: The Two Towers,2003-01-01,JAMDAT,RPG
Medal of Honor: Allied Assault – Breakthrough,2003-01-01,TKO Software,Shooter
The Command & Conquer Collection,2003-01-01,Westwood Studios,Strategy
The Laptop Collection,2003-01-01,Electronic Arts,Action
Medal of Honor: Rising Sun,2003-01-01,EA Los Angeles,Shooter
The Lord of the Rings: The Return of the King,2003-01-01,EA Redwood Shores,RPG
The Lord of the Rings: The Return of the King,2003-01-01,Griptonite Games,RPG
Medal of Honor: Infiltrator,2003-01-01,Netherock Ltd.,Shooter
The Lord of the Rings: The Return of the King,2003-01-01,Hypnos Entertainment,RPG
Command & Conquer: Generals – Zero Hour,2003-01-01,EA Los Angeles,Strategy
Harry Potter: Quidditch World Cup,2003-01-01,Magic Pockets,Adventure
The Sims,2003-01-01,Maxis,Simulator
NCAA Football 2004,2003-01-01,EA Tiburon,Sports
Gamers Pack,2003-01-01,Electronic Arts,Action
The Sims: Makin' Magic,2003-01-01,Maxis,Simulator
Disney's Party,2003-01-01,Hudson Soft,Action
Ghosthunter[i],2003-01-01,SCE Cambridge Studio,Action
Def Jam Vendetta,2003-01-01,AKI Corporation / EA Canada,Action
The Sims: Superstar,2003-01-01,Maxis,Simulator
SimCity 4,2003-01-01,Maxis,Simulator
SimCity 4: Rush Hour,2003-01-01,Maxis,Simulator
SimMania 2,2003-01-01,Electronic Arts,Simulator
007: Nightfire,2004-01-01,Aspyr,Racing
Burnout 3: Takedown,2004-01-01,Criterion Games,Racing
The Lord of the Rings: The Third Age (Game Boy Advance),2004-01-01,Griptonite Games,RPG
007: Everything or Nothing,2004-01-01,EA Redwood Shores,Racing
The Lord of the Rings: The Third Age,2004-01-01,EA Redwood Shores,RPG
The Lord of the Rings: The Battle for Middle-earth,2004-01-01,EA Los Angeles,RPG
Def Jam: Fight for NY,2004-01-01,AKI Corporation / EA Canada,Fighting
Catwoman,2004-01-01,Argonaut Games,Action
FIFA Football 2004,2004-01-01,EA Canada,Sports
FIFA Football 2005,2004-01-01,EA Canada,Sports
FIFA Football 2005,2004-01-01,Exient Entertainment,Sports
NHL 2005,2004-01-01,EA Black Box,Sports
The Vault of Darkness,2004-01-01,Electronic Arts,Action
The Lord of the Rings: The Return of the King,2004-01-01,Beenox,RPG
NFL Street 2,2004-01-01,EA Tiburon,Sports
NFL Street,2004-01-01,EA Tiburon,Sports
Black & White Deluxe,2004-01-01,Lionhead Studios,Action
Catwoman,2004-01-01,Magic Pockets,Action
Battlefield Vietnam,2004-01-01,DICE Canada,Shooter
The Urbz: Sims in the City,2004-01-01,Griptonite Games,Simulator
Total Club Manager 2005,2004-01-01,Budcat Creations,Action
Total Club Manager 2005,2004-01-01,Electronic Arts,Action
The Sims Bustin' Out,2004-01-01,Ideaworks3D,Simulator
The Sims: Mega Deluxe,2004-01-01,Maxis,Simulator
Ty the Tasmanian Tiger 2: Bush Rescue,2004-01-01,Halfbrick Studios,Action
Ty the Tasmanian Tiger 2: Bush Rescue,2004-01-01,Krome Studios,Action
UEFA Euro 2004,2004-01-01,EA Canada,Sports
Battlefield 1942: World War II Anthology,2004-01-01,Digital Illusions CE,Shooter
Armies of Exigo[k],2004-01-01,Black Hole Entertainment,Action
The Urbz: Sims in the City,2004-01-01,Maxis,Simulator
The Sims 2,2004-01-01,Maxis Redwood Shores,Simulator
Ultima Online: Samurai Empire,2004-01-01,Origin Systems,RPG
Tiger Woods PGA Tour 2005,2004-01-01,Headgate Studios,Sports
Tiger Woods PGA Tour 2005,2004-01-01,EA Redwood Shores,Sports
"Anno 1503: Treasures, Monsters and Pirates",2004-01-01,Max Design,Action
Tiger Woods PGA Tour 2004,2004-01-01,Backbone Emeryville,Sports
EA Games Collection,2004-01-01,Electronic Arts,Action
Need for Speed: Underground 2,2004-01-01,Pocketeers,Racing
Need for Speed: Underground 2,2004-01-01,EA Black Box,Racing
Cricket 2004,2004-01-01,HB Studios,Sports
Tiger Woods PGA Tour 2005,2004-01-01,Sensory Sweep Studios,Sports
The Sims: Triple Deluxe,2004-01-01,Maxis,Simulator
Knights of Honor[j],2004-01-01,Black Sea Studios,Action
Harry Potter and the Prisoner of Azkaban,2004-01-01,Griptonite Games,Adventure
NBA Live 2005,2004-01-01,EA Canada,Sports
MVP Baseball 2004,2004-01-01,EA Canada,Sports
NCAA Football 2005,2004-01-01,EA Tiburon,Sports
Fight Night 2004,2004-01-01,EA Canada / NuFX,Fighting
Madden NFL 2005,2004-01-01,Budcat Creations,Sports
Madden NFL 2005,2004-01-01,Exient Entertainment,Sports
Madden NFL 2005 (Collector's Edition),2004-01-01,EA Tiburon,Sports
Madden NFL 2005,2004-01-01,EA Tiburon,Sports
GoldenEye: Rogue Agent,2004-01-01,EA Los Angeles,Action
NASCAR 2005: Chase for the Cup,2004-01-01,EA Tiburon,Racing
Harry Potter and the Prisoner of Azkaban,2004-01-01,EA UK,Adventure
Medal of Honor: Pacific Assault (Director's Edition DVD),2004-01-01,EA Los Angeles,Shooter
Medal of Honor: Pacific Assault,2004-01-01,EA Los Angeles,Shooter
Harry Potter and the Prisoner of Azkaban,2004-01-01,KnowWonder,Adventure
The Sims: Complete Collection,2005-01-01,Maxis,Simulator
The Sims: Expansion Three-Pack Volume 2,2005-01-01,Maxis,Simulator
Harry Potter and the Goblet of Fire,2005-01-01,EA UK,Adventure
Burnout Revenge,2005-01-01,Criterion Games,Racing
SSX 3,2005-01-01,Exient Entertainment,Action
Surviving High School,2005-01-01,Centerscore / EA Mobile,Action
Fight Night Round 2,2005-01-01,EA Chicago,Fighting
The Sims: Expansion Three-Pack Volume 1,2005-01-01,Maxis,Simulator
Oddworld: Stranger's Wrath,2005-01-01,Oddworld Inhabitants,Action
Ultima Online: Mondain's Legacy,2005-01-01,Electronic Arts,RPG
Burnout Legends,2005-01-01,Criterion Games,Racing
Harry Potter and the Goblet of Fire,2005-01-01,Magic Pockets,Adventure
Need for Speed: Underground Rivals,2005-01-01,EA Black Box,Racing
Need for Speed: Most Wanted: 5-1-0,2005-01-01,EA Canada / EA Black Box,Racing
